"API","LATERAL_LENGTH_BLEND","PROP_PER_FOOT","WATER_PER_FOOT","OIL_CUM_3MOS","OIL_CUM_6MOS","OIL_CUM_12MOS","GOR_30","GOR_60","GOR_90","BasinName","StateName","CountyName","LatWGS84","LonWGS84","BottomHoleLatitude","BottomHoleLongitude","CongMeridianName","formation_alias","operator_alias","OIL_CUM_3MOS_NEIGH","OIL_CUM_6MOS_NEIGH","OIL_CUM_12MOS_NEIGH","case","neighbors_count","GOR_30_NEIGH","GOR_60_NEIGH","GOR_90_NEIGH","WATER_PER_FOOT_NEIGH","PROP_PER_FOOT_NEIGH","neigh_count","my_qi","my_di","my_b","my_EUR","p10rawcurve_seg1","p10rawcurve_seg2","p10rawcurve_seg3","p10rawcurve_seg4","p50rawcurve_seg1","p50rawcurve_seg2","p50rawcurve_seg3","p50rawcurve_seg4","p90rawcurve_seg1","p90rawcurve_seg2","p90rawcurve_seg3","p90rawcurve_seg4","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","my_rawcurve_seg1","my_rawcurve_seg2","my_rawcurve_seg3","my_rawcurve_seg4"
"05123330230000",3586,883.4519,530.5713,36530,59159,85618,1060.75418994413,1053.99417647803,1079.91264208071,"DENVER BASIN","COLORADO","WELD",40.759280016,-103.877939983,40.75686,-103.86178,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",20972.5151515152,37704.2727272727,57897.1515151515,3,33,1197.48778349341,1268.0059657908,1273.62671025889,560.795751515152,772.132748484849,33,619.103746682372,0.997278853244375,1.1,230.258175898095,4072.64666666667,1289.16666666667,844.586666666667,2172.71,1571.33333333333,460.366666666667,289.45,768.4,1038.58666666667,246.4,177.846666666667,434.803333333333,620.533333333333,432.666666666667,289.933333333333,244.533333333333,219.833333333333,200.8,163.066666666667,142.733333333333,130.4,125.066666666667,119.9,103.233333333333,3539.66666666667,919.533333333333,724.166666666667,1748.33333333333
"05123335630000",3850,741.6495,672.9295,22673,48581,75019,904.567634589232,824.22024594698,856.716323095003,"DENVER BASIN","COLORADO","WELD",40.715623816,-103.860418099,40.72763,-103.86144,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",28750,45464.7,64840,6,10,1028.55299333751,1032.55381890179,1035.80352841644,541.6545,727.20661,5,445.9827491848,0.987882628782573,1.1,205.627311576543,3868.64666666667,1152.76,843.34,2147.53333333333,2628.8,740.6,437.166666666667,1277.83333333333,2115.2,488.126666666667,268.506666666667,830.22,416.7,366.666666666667,266.066666666667,230.866666666667,197.4,171.8,141.333333333333,137,133.8,99.9333333333333,114.866666666667,109.633333333333,2810.13333333333,925.066666666667,177.433333333333,1196.8
"05123335640000",3770,866.1144,564.8007,37875,69022,106529,801.474255944133,826.460368452107,852.741565353254,"DENVER BASIN","COLORADO","WELD",40.75729308,-103.849476491,40.74593,-103.85032,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",20636.6060606061,36922.7272727273,56870.3939393939,3,33,1152.61473357502,1214.9827098291,1223.89581887296,582.970478787879,788.175745454545,31,608.77140257366,0.992866449998032,1.1,261.347029429776,4115.26666666667,1195.3,855.903333333333,2160.97,1621.66666666667,457.033333333333,396.733333333333,919.283333333333,1097.06666666667,259.466666666667,262.106666666667,559.633333333333,601.433333333333,415.433333333333,348.533333333333,274.266666666667,267.366666666667,233.7,199.1,202.566666666667,177.433333333333,170.066666666667,175.133333333333,132.833333333333,2889.9,1230,343.133333333333,1398.13333333333
"05123362240000",4829,1160.061,1603.198,19557,41345,73756,2787.37665239248,3656.41720767639,3363.40799665062,"DENVER BASIN","COLORADO","WELD",40.117491085,-104.711306522,40.13149,-104.71119,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",21789.6333333333,37929.0666666667,55774.5,3,30,2984.90496778832,3289.94942173095,3408.18575466074,903.54638,630.464386666667,30,334.00201285682,0.890164110406567,1.1,261.355594784876,2931.66666666667,870.733333333333,476.203333333333,1424.22666666667,2249.86666666667,572.466666666667,299.316666666667,925.216666666667,1418.12,253.2,130.986666666667,408.346666666667,358.066666666667,109.166666666667,328.933333333333,288.166666666667,216.6,221.4,189.9,173.5,147.933333333333,131.033333333333,135.733333333333,119.666666666667,2734.33333333333,979.7,637.8,1746.56666666667
"05123352730000",4226,899.1354,625.8964,22215,33815,46447,4002.76518084283,4514.63770035766,5076.13440259872,"DENVER BASIN","COLORADO","WELD",40.397196082,-104.479270003,40.39556,-104.49579,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",19310.5294117647,30830.4705882353,43079.2352941177,3,17,4300.79736954492,4139.86521363499,4259.34225536789,746.796311764706,1015.56457647059,17,303.564856558336,0.998134994314307,1.1,99.6109830310921,2313.05333333333,803.706666666667,426.716666666667,1299.44333333333,1723.6,507.433333333333,256.033333333333,804.066666666667,1220.03333333333,168.666666666667,103.28,285.593333333333,301.366666666667,201.9,153.466666666667,128.9,104.3,96.5,71.8666666666667,81.8333333333333,65.3666666666667,56.0666666666667,49.4333333333333,46.2,1575.4,436.566666666667,339.633333333333,770.566666666667
"05123359730000",4143,572.9957,733.605,11601,21999,34656,4082.78976417461,3743.55042395815,4182.60987889509,"DENVER BASIN","COLORADO","WELD",40.201081903,-104.774934851,40.19019,-104.77462,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",19222.1632653061,34220.6734693878,53304.4897959184,3,49,4200.94189127055,4228.55765786263,4386.17766569504,781.754302040816,566.679328571429,49,196.056452685382,0.932944903090765,1.1,124.899846927156,2999.78,1126.58666666667,721.026666666667,1960.74666666667,2226.13333333333,769.566666666667,489.783333333333,1336.31666666667,1064.05333333333,424.16,272.673333333333,740.706666666667,199.3,170.233333333333,120.4,125,101.2,85.2666666666667,89.3,66.6333333333333,61.6,56.0333333333333,63.0666666666667,59.2333333333333,1399.03333333333,621.233333333333,389.933333333333,971.466666666667
"05123349200000",4019,1028.307,695.4332,10369,19313,28468,1698.22979291917,3114.72945891784,2493.6830938374,"DENVER BASIN","COLORADO","WELD",40.570350037,-104.525139949,40.56807,-104.50861,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",15612.3636363636,27369.9090909091,43614.4545454545,3,11,1875.51397084828,2052.38570001869,1993.2406382533,658.768572727273,990.723363636364,11,148.363974059808,0.916028842290252,1.1,97.8331675048183,3547.33333333333,1349.93333333333,713.496666666667,2002.58333333333,1602.2,549.366666666667,223.666666666667,755.566666666667,742.666666666667,282.7,67.26,333.646666666667,199.6,0,146.033333333333,120,99.4333333333333,78.7,84.4666666666667,53.9333333333333,71.7,53.6333333333333,26.7333333333333,14.7,1079.96666666667,499.533333333333,386.566666666667,869.7
"05123359740000",4118,440.0287,769.9128,17667,34389,54046,3651.32543711224,3122.99310264881,3499.30440831232,"DENVER BASIN","COLORADO","WELD",40.201164203,-104.774939051,40.1902,-104.77271,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",18908.0208333333,33697.6666666667,52545.7083333333,3,48,4229.76973247788,4260.51221468889,4420.80226476069,780.958977083333,571.487133333333,48,314.510272612934,0.958177787556949,1.1,184.239750561001,3006.94666666667,1128.80333333333,713.03,1955.40666666667,2178.71666666667,756.166666666667,479.633333333333,1312.05,1049.84666666667,421.106666666667,271.083333333333,735.47,295.5,279.6,191.633333333333,200.1,165.666666666667,141.3,130.9,108.666666666667,92.6666666666667,100.8,80.9,84.9666666666667,2173.73333333333,756.366666666667,521.466666666667,1237.83333333333
"05123349130000",4057,334.4234,541.9534,16741,26308,39029,3893.54887906055,4149.9955144882,4296.79676246656,"DENVER BASIN","COLORADO","WELD",40.176181616,-104.789634673,40.18741,-104.78682,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",24272.7272727273,38747.7272727273,57656.3636363636,2,11,3366.34855078216,3504.63962647157,3678.67726473015,767.526609090909,539.555454545454,11,210.369517697866,0.976217722729886,1.1,102.881602642407,2659.76666666667,950.966666666667,672.566666666667,1586,2179.6,769.233333333333,491.366666666667,1222,1742.86666666667,598.3,311.533333333333,870.033333333333,218.566666666667,153,114.4,114.9,89.6,94.7666666666667,77.0333333333333,73.2,66.1,51.9333333333333,61,51.1333333333333,1383.86666666667,494.233333333333,294.733333333333,763.1
"05123356470000",4125,1009.45,806.3933,20031,29875,50702,2102.5374964626,2102.5374964626,2011.64230864503,"DENVER BASIN","COLORADO","WELD",40.48306995,-104.374640002,40.48618,-104.35721,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",19312.55,31017.95,47829.45,2,20,2238.40597608042,2292.96953736685,2319.57576014681,750.31667,965.048205,20,255.291729872034,0.96231787498102,1.1,142.859527427029,2381.99333333333,875.07,581.08,1412.48333333333,1843.15,645.483333333333,443.883333333333,1054.75,1228.22666666667,410.806666666667,201.366666666667,584.06,353.366666666667,0,184.9,143.233333333333,145.133333333333,130.233333333333,94.2,114.666666666667,108.833333333333,101.166666666667,58.8666666666667,83.2,1768.4,683.3,393.633333333333,1032.26666666667
