WELL_KEY,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,OIL_CUM_3MOS,OIL_CUM_6MOS,OIL_CUM_12MOS,GOR_30,GOR_60,GOR_90
05087081720000,8132,807.1454,691.731,9235,14653,20943,2050.918038992996,1859.691349285006,2002.923659989171
05123306310000,4930,129.9025,NULL,27673,52624,105782,653.609774157719,640.482112110197,701.592253583306
05123312330000,3457,164.9978,126.5482,7507,9958,12156,889.013139502376,1116.885589187131,1138.932994601460
05123312540000,4631,870.4919,NULL,6359,11587,18343,1212.443095599393,2268.841679312089,2042.144991350841
05123313510000,770,355.5103,NULL,25772,37091,50508,2876.092292587137,2978.813296054675,2898.568942177528
05123315320000,3226,415.4563,NULL,10308,17447,25276,826.863226863226,1205.081393579796,974.388824214202
05123320360000,5410,115.4674,NULL,6451,9111,11014,787.779596290234,935.181850918257,1076.432175719798
05123320810100,3676,136.4216,168.9908,7778,11703,13567,1108.322324966974,917.633410672853,801.234250449987
05123323680000,3640,NULL,612.3893,9582,17247,27425,461.072844917553,384.113475177304,340.116885827593
05123329870100,3772,811.3012,715.8235,25704,52866,69238,1820.444583594239,1863.378684807256,1518.336850510465
05123330230000,3586,883.4519,530.5713,36530,59159,85618,1060.754189944134,1053.994176478035,1079.912642080706
05123330240000,4111,926.9582,NULL,7938,13774,21295,2438.493849384938,2438.493849384938,2562.800581590426
05123334150000,4212,663.21,NULL,20913,38960,58053,3165.457589285714,3033.777233532323,3057.004937725698
05123334160000,6523,868.1469,544.8483,21726,46193,72208,3549.150374566051,3486.926703814830,3690.350539964351
05123334180000,4318,896.5082,531.4089,17242,28413,41209,1635.652280229856,2235.309300524821,2059.853845261570
05123334640000,3804,910.8555,NULL,16979,26840,38634,3150.454545454545,3226.520494378884,3503.866911478328
05123335630000,3850,741.6495,672.9295,22673,48581,75019,904.567634589232,824.220245946980,856.716323095003
05123335640000,3770,866.1144,564.8007,37875,69022,106529,801.474255944133,826.460368452107,852.741565353254
05123337520000,3321,629.4423,556.6351,1290,4220,7670,2989.021043000914,2248.538011695906,1902.389078498293
05123360240000,4189,NULL,608.3738,23171,35290,49351,4636.973275948353,4150.046948356807,4522.746912011386
05123362240000,4829,1160.061,1603.198,19557,41345,73756,2787.376652392478,3656.417207676392,3363.407996650617
05123352730000,4226,899.1354,625.8964,22215,33815,46447,4002.765180842827,4514.637700357663,5076.134402598720
05123359730000,4143,572.9957,733.605,11601,21999,34656,4082.789764174611,3743.550423958145,4182.609878895087
05123359750000,3933,895.218,634.5712,17589,24871,32003,2636.805555555555,2825.299145299145,2765.942778352292
05123349200000,4019,1028.307,695.4332,10369,19313,28468,1698.229792919171,3114.729458917835,2493.683093837399
05123359740000,4118,440.0287,769.9128,17667,34389,54046,3651.325437112239,3122.993102648814,3499.304408312320
05123348880000,3800,600.296,541.7019,10013,17295,25787,1577.011494252873,1916.365280289330,1694.105151354221
05123349130000,4057,334.4234,541.9534,16741,26308,39029,3893.548879060545,4149.995514488203,4296.796762466561
05123356470000,4125,1009.45,806.3933,20031,29875,50702,2102.537496462597,2102.537496462597,2011.642308645033
05123362470000,9491,498.5051,667.3042,22138,46888,80405,2614.086499595796,2597.496071772517,2531.151218517385
05123357920000,3964,498.5606,794.9868,19442,31114,45464,4568.101265822784,4981.538461538461,5453.408040036990
05123360150000,10760,588.8499,434.2048,35148,53759,76603,2577.363689095127,2341.266905084885,2336.985866285532
05123356480000,4104,956.3391,747.462,20755,32925,49485,2162.268331990330,2162.268331990330,2040.962288686605
05123356430000,4022,963.5837,746.5953,11530,27962,41981,2600.874635568513,2359.430022111211,2451.131937682570
05123358320000,4771,348.0083,555.5479,14712,25034,36212,4357.820943478895,5024.194908109930,5390.186319550791
05123348740000,3933,886.1335,628.6958,11953,19547,26782,2508.065945754298,3184.240622140896,3659.297102087553
05123358920000,4098,494.5222,840.7406,14037,32620,52261,4352.161319073083,5168.835838067160,4837.185461323392
05123362120000,4276,518.1599,774.9208,16967,34207,56011,2574.408602150537,2778.251346711655,2935.209726955277
05123339500000,3778,707.8929,637.5952,17324,32499,51038,2176.599063962558,2383.605393896380,2400.827165868524
05123359580000,3567,609.2147,607.0909,8011,13889,20973,1769.501054111033,1445.976577257272,1492.838874680306
05123358310000,4695,459.7409,794.9158,17541,34240,56012,3587.039390088945,3348.282259612308,3571.913877794610
05123362840000,3819,883.6415,644.5665,12049,19834,28705,9305.024630541871,8875.160599571734,9283.699310786985
05123353370000,3971,968.2731,758.013,9109,21119,34467,3390.538400633412,3365.721306440053,3266.808729517231
05123359130000,6709,558.2166,802.7854,24365,46615,75725,3414.912371668567,3561.672783895006,3583.744895975111
05123348680100,4062,805.6827,NULL,26602,53593,85568,2478.068232166592,2608.919382504288,2838.678132819465
05123344230000,3611,1024.468,770.5327,11013,13789,23442,4790.621336459554,4554.975820819546,4488.604376645782
05123359110000,4288,NULL,NULL,9295,14897,22152,2427.607680332122,2639.670990192976,2742.244849632962
05123356000000,4094,985.9195,597.7486,23561,40581,62187,2212.875277050171,2366.121537625973,2213.305753725357
05123357220000,3804,23.74653,685.6221,13906,20187,26725,3349.058362856610,3837.184873949579,4404.209390178089
05123357840000,3794,468.6487,756.884,19049,31201,45440,3552.152742183495,3857.203539823008,4185.476215589072
05123354210000,6881,949.5334,675.076,6044,30852,64240,4264.031468866928,4439.903450545833,4718.558529506610
05123356460000,4105,827.0156,635.8515,17306,26890,46195,3286.031042128603,3286.031042128603,2681.087118391660
05123351560000,5033,417.4988,738.6289,20340,35134,57145,2989.722507708119,3143.917722381146,3323.992133726647
05123356850100,4215,506.3251,492.9308,11360,18776,26184,1772.454212454212,1725.231820400195,1620.165512582334
