"API","LATERAL_LENGTH_BLEND","PROP_PER_FOOT","WATER_PER_FOOT","OIL_CUM_3MOS","OIL_CUM_6MOS","OIL_CUM_12MOS","GOR_30","GOR_60","GOR_90","BasinName","StateName","CountyName","LatWGS84","LonWGS84","BottomHoleLatitude","BottomHoleLongitude","CongMeridianName","formation_alias","operator_alias","OIL_CUM_3MOS_NEIGH","OIL_CUM_6MOS_NEIGH","OIL_CUM_12MOS_NEIGH","case","neighbors_count","GOR_30_NEIGH","GOR_60_NEIGH","GOR_90_NEIGH","WATER_PER_FOOT_NEIGH","PROP_PER_FOOT_NEIGH","neigh_count","my_qi","my_di","my_b","p10rawcurve_seg1","p10rawcurve_seg2","p10rawcurve_seg3","p10rawcurve_seg4","p50rawcurve_seg1","p50rawcurve_seg2","p50rawcurve_seg3","p50rawcurve_seg4","p90rawcurve_seg1","p90rawcurve_seg2","p90rawcurve_seg3","p90rawcurve_seg4","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12"
"05123330230000",3586,883.4519,530.5713,36530,59159,85618,1060.75418994413,1053.99417647803,1079.91264208071,"DENVER BASIN","COLORADO","WELD",40.759280016,-103.877939983,40.75686,-103.86178,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",20972.5151515152,37704.2727272727,57897.1515151515,3,33,1197.48778349341,1268.0059657908,1273.62671025889,560.795751515152,772.132748484849,33,630.93430815817,0.967576092551226,1.1,5059.52666666667,2556.66666666667,1934.01333333333,4816.23333333333,2533.36666666667,1140.86666666667,705.85,1955.68333333333,1188.18,362.206666666667,56.1233333333333,455.416666666667,658.233333333333,451.833333333333,340.4,312.033333333333,368.166666666667,320.233333333333,272.233333333333,247.066666666667,238.933333333333,214.8,184.333333333333,139.7
"05123335630000",3850,741.6495,672.9295,22673,48581,75019,904.567634589232,824.22024594698,856.716323095003,"DENVER BASIN","COLORADO","WELD",40.715623816,-103.860418099,40.72763,-103.86144,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",28750,45464.7,64840,6,10,1028.55299333751,1032.55381890179,1035.80352841644,541.6545,727.20661,5,386.240128227513,0.971501015312443,1.1,5321.96,2278.45333333333,894.806666666667,3475.34,3790.5,1252.36666666667,416.866666666667,1804.56666666667,2018.17333333333,453.033333333333,88.42,597.033333333333,376.933333333333,268.733333333333,253.4,238.366666666667,213.866666666667,167.1,147.033333333333,154.9,116.733333333333,115.466666666667,140.966666666667,59.8333333333333
"05123335640000",3770,866.1144,564.8007,37875,69022,106529,801.474255944133,826.460368452107,852.741565353254,"DENVER BASIN","COLORADO","WELD",40.75729308,-103.849476491,40.74593,-103.85032,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",20636.6060606061,36922.7272727273,56870.3939393939,3,33,1152.61473357502,1214.9827098291,1223.89581887296,582.970478787879,788.175745454545,31,482.952208095493,0.954820037986777,1.1,4624.32333333333,2514.2,1724.82333333333,3986.65666666667,2519.01666666667,1053.85,615.183333333333,1565.81666666667,1245.36,268.73,68.0033333333333,325.303333333333,482.033333333333,358.366666666667,323.933333333333,237.966666666667,247.1,236.533333333333,212.466666666667,204.666666666667,180.866666666667,194.533333333333,209.233333333333,170.2
"05123362240000",4829,1160.061,1603.198,19557,41345,73756,2787.37665239248,3656.41720767639,3363.40799665062,"DENVER BASIN","COLORADO","WELD",40.117491085,-104.711306522,40.13149,-104.71119,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",21789.6333333333,37929.0666666667,55774.5,3,30,2984.90496778832,3289.94942173095,3408.18575466074,903.54638,630.464386666667,30,922.872500199329,0.291950844360435,1.1,15198.56,9897.45,7037.84333333333,16146.09,12330.3333333333,7456.9,4917.75,11699.5833333333,8997.35333333333,1252.84666666667,890.516666666667,2022.47333333333,998.066666666667,710.333333333333,969.433333333333,936.933333333333,996.733333333333,904.266666666667,796.4,808.7,731.8,732.166666666667,674.366666666667,645.033333333333
"05123352730000",4226,899.1354,625.8964,22215,33815,46447,4002.76518084283,4514.63770035766,5076.13440259872,"DENVER BASIN","COLORADO","WELD",40.397196082,-104.479270003,40.39556,-104.49579,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",19310.5294117647,30830.4705882353,43079.2352941177,3,17,4300.79736954492,4139.86521363499,4259.34225536789,746.796311764706,1015.56457647059,17,1252.38230478574,0.747481790306841,1.1,17047.16,10136.5533333333,6049.99666666667,17168.06,11389.3,5735.53333333333,3849.98333333333,10001.65,3609.95333333333,1549.62,1383.55666666667,3059.59333333333,1206.3,1065.76666666667,1061.6,982.9,840.333333333333,806.966666666667,659.4,817.1,825.4,785.533333333333,695.533333333333,648.8
"05123359730000",4143,572.9957,733.605,11601,21999,34656,4082.78976417461,3743.55042395815,4182.60987889509,"DENVER BASIN","COLORADO","WELD",40.201081903,-104.774934851,40.19019,-104.77462,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",19222.1632653061,34220.6734693878,53304.4897959184,3,49,4200.94189127055,4228.55765786263,4386.17766569504,781.754302040816,566.679328571429,49,703.022854784571,0.709257390128728,1.1,15072.7066666667,9037.51333333334,6596.81333333334,16451.98,10309.5,5317.2,4251.76666666667,10088.5333333333,7373.65333333333,3450.7,2758.28,6577.89333333333,813.7,569.666666666667,665.833333333333,572.766666666667,471.4,467.033333333333,386.266666666667,325.9,296.2,326.9,296.233333333333,324.3
"05123349200000",4019,1028.307,695.4332,10369,19313,28468,1698.22979291917,3114.72945891784,2493.6830938374,"DENVER BASIN","COLORADO","WELD",40.570350037,-104.525139949,40.56807,-104.50861,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",15612.3636363636,27369.9090909091,43614.4545454545,3,11,1875.51397084828,2052.38570001869,1993.2406382533,658.768572727273,990.723363636364,11,348.931248840557,0.980468849352615,1.1,6680.5,4290.73333333333,2037.10666666667,6401.92,4459.13333333333,1756.86666666667,525.316666666667,2322.58333333333,1377.33333333333,496.466666666667,214.106666666667,742.6,338.966666666667,282.733333333333,240.2,194.833333333333,193.1,120.666666666667,134.733333333333,114.966666666667,19.7333333333333,1.63333333333333,0,24.0666666666667
"05123359740000",4118,440.0287,769.9128,17667,34389,54046,3651.32543711224,3122.99310264881,3499.30440831232,"DENVER BASIN","COLORADO","WELD",40.201164203,-104.774939051,40.1902,-104.77271,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",18908.0208333333,33697.6666666667,52545.7083333333,3,48,4229.76973247788,4260.51221468889,4420.80226476069,780.958977083333,571.487133333333,48,995.306061384681,0.79591263319826,1.1,15041.91,8955.78,6620.85666666667,16367.4766666667,10165.8166666667,5279.88333333333,4200.3,9995.6,7221.88,3445.86666666667,2743.89333333333,6546.61666666667,1078.96666666667,717.066666666667,887,754.633333333333,649.866666666667,634.366666666667,545.166666666667,440.433333333333,489.366666666667,406.366666666667,440.566666666667,415.166666666667
"05123349130000",4057,334.4234,541.9534,16741,26308,39029,3893.54887906055,4149.9955144882,4296.79676246656,"DENVER BASIN","COLORADO","WELD",40.176181616,-104.789634673,40.18741,-104.78682,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",24272.7272727273,38747.7272727273,57656.3636363636,2,11,3366.34855078216,3504.63962647157,3678.67726473015,767.526609090909,539.555454545454,11,742.574762716926,0.72615419742477,1.1,12169.6,6708.06666666667,5309.23333333333,11863.4333333333,9463.3,4481.06666666667,3670.23333333333,8052.03333333333,7620.1,3564.46666666667,2619.1,6044.06666666667,851,691,546.1,562,430.5,512.4,443.233333333333,412.1,363.166666666667,280.133333333333,357.1,339.933333333333
"05123356470000",4125,1009.45,806.3933,20031,29875,50702,2102.5374964626,2102.5374964626,2011.64230864503,"DENVER BASIN","COLORADO","WELD",40.48306995,-104.374640002,40.48618,-104.35721,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",19312.55,31017.95,47829.45,2,20,2238.40597608042,2292.96953736685,2319.57576014681,750.31667,965.048205,20,468.590459807171,0.568677543578109,1.1,7491.22,4268.41666666667,2868.06333333333,7638.27,5566.73333333333,2938.91666666667,1914.36666666667,5212.45,3483.17333333333,1742.01333333333,743.236666666667,2752.92333333333,742.966666666667,0,339.833333333333,437.6,380.633333333333,350.033333333333,415.533333333333,265.666666666667,280.6,247.366666666667,308.766666666667,520.6
